Type,Field,GraphQL Type,Base Type,Nullable,Kind
Client,balance,Float!,Float,No,OBJECT
Client,billingAddress,ClientAddress,ClientAddress,Yes,OBJECT
Client,billingAddressPresent,Boolean!,Boolean,No,OBJECT
Client,clientProperties,PropertyConnection!,PropertyConnection,No,OBJECT
Client,companyName,String,String,Yes,OBJECT
Client,contacts,ContactModelConnection!,ContactModelConnection,No,OBJECT
Client,createdAt,ISO8601DateTime!,ISO8601DateTime,No,OBJECT
Client,customFields,[Unknown]!,Unknown,No,OBJECT
Client,defaultEmails,[Unknown]!,Unknown,No,OBJECT
Client,defaultPhones,[Unknown]!,Unknown,No,OBJECT
Client,emails,[Unknown]!,Unknown,No,OBJECT
Client,firstName,String!,String,No,OBJECT
Client,id,EncodedId!,EncodedId,No,OBJECT
Client,invoices,InvoiceConnection!,InvoiceConnection,No,OBJECT
Client,isArchivable,Boolean!,Boolean,No,OBJECT
Client,isArchived,Boolean!,Boolean,No,OBJECT
Client,isCompany,Boolean!,Boolean,No,OBJECT
Client,isLead,Boolean!,Boolean,No,OBJECT
Client,jobberWebUri,String!,String,No,OBJECT
Client,jobs,JobConnection!,JobConnection,No,OBJECT
Client,lastName,String!,String,No,OBJECT
Client,messages,MessageInterfaceConnection!,MessageInterfaceConnection,No,OBJECT
Client,name,String!,String,No,OBJECT
Client,noteAttachments,ClientNoteFileConnection!,ClientNoteFileConnection,No,OBJECT
Client,notes,ClientNoteConnection!,ClientNoteConnection,No,OBJECT
Client,phones,[Unknown]!,Unknown,No,OBJECT
Client,quotes,QuoteConnection!,QuoteConnection,No,OBJECT
Client,receivesFollowUps,Boolean!,Boolean,No,OBJECT
Client,receivesInvoiceFollowUps,Boolean!,Boolean,No,OBJECT
Client,receivesQuoteFollowUps,Boolean!,Boolean,No,OBJECT
Client,receivesReminders,Boolean!,Boolean,No,OBJECT
Client,receivesReviewRequests,Boolean!,Boolean,No,OBJECT
Client,requestedWorkObjects,RequestedWorkObjectUnionConnection,RequestedWorkObjectUnionConnection,Yes,OBJECT
Client,requests,RequestConnection!,RequestConnection,No,OBJECT
Client,sampleData,Boolean!,Boolean,No,OBJECT
Client,scheduledItems,ScheduledItemInterfaceConnection!,ScheduledItemInterfaceConnection,No,OBJECT
Client,secondaryName,String,String,Yes,OBJECT
Client,sourceAttribution,SourceAttribution,SourceAttribution,Yes,OBJECT
Client,tags,TagConnection!,TagConnection,No,OBJECT
Client,title,String,String,Yes,OBJECT
Client,unallocatedDepositRecords,PaymentRecordInterfaceConnection!,PaymentRecordInterfaceConnection,No,OBJECT
Client,updatedAt,ISO8601DateTime!,ISO8601DateTime,No,OBJECT
ClientAddress,city,String!,String,No,OBJECT
ClientAddress,country,String!,String,No,OBJECT
ClientAddress,latitude,String!,String,No,OBJECT
ClientAddress,longitude,String!,String,No,OBJECT
ClientAddress,name,String,String,Yes,OBJECT
ClientAddress,postalCode,String!,String,No,OBJECT
ClientAddress,province,String!,String,No,OBJECT
ClientAddress,street,String!,String,No,OBJECT
ClientAddress,street1,String!,String,No,OBJECT
ClientAddress,street2,String!,String,No,OBJECT
ClientPhoneNumber,client,Client!,Client,No,OBJECT
ClientPhoneNumber,contact,ContactModel,ContactModel,Yes,OBJECT
ClientPhoneNumber,description,String!,String,No,OBJECT
ClientPhoneNumber,friendly,String!,String,No,OBJECT
ClientPhoneNumber,id,EncodedId!,EncodedId,No,OBJECT
ClientPhoneNumber,normalizedPhoneNumber,String,String,Yes,OBJECT
ClientPhoneNumber,number,String!,String,No,OBJECT
ClientPhoneNumber,primary,Boolean!,Boolean,No,OBJECT
ClientPhoneNumber,smsAllowed,Boolean!,Boolean,No,OBJECT
Email,address,String!,String,No,OBJECT
Email,client,Client!,Client,No,OBJECT
Email,contact,ContactModel,ContactModel,Yes,OBJECT
Email,description,String!,String,No,OBJECT
Email,id,EncodedId!,EncodedId,No,OBJECT
Email,primary,Boolean!,Boolean,No,OBJECT
Expense,createdAt,ISO8601DateTime!,ISO8601DateTime,No,OBJECT
Expense,date,ISO8601DateTime!,ISO8601DateTime,No,OBJECT
Expense,description,String,String,Yes,OBJECT
Expense,enteredBy,User,User,Yes,OBJECT
Expense,id,EncodedId!,EncodedId,No,OBJECT
Expense,linkedJob,Job,Job,Yes,OBJECT
Expense,paidBy,User,User,Yes,OBJECT
Expense,reimbursableTo,User,User,Yes,OBJECT
Expense,title,String!,String,No,OBJECT
Expense,total,Float,Float,Yes,OBJECT
Expense,updatedAt,ISO8601DateTime!,ISO8601DateTime,No,OBJECT
Invoice,allowReviewRequest,Boolean!,Boolean,No,OBJECT
Invoice,amounts,InvoiceAmounts,InvoiceAmounts,Yes,OBJECT
Invoice,billingAddress,InvoiceBillingAddress,InvoiceBillingAddress,Yes,OBJECT
Invoice,billingIsSameAsPropertyAddress,Boolean,Boolean,Yes,OBJECT
Invoice,client,Client,Client,Yes,OBJECT
Invoice,clientHubUri,String,String,Yes,OBJECT
Invoice,contractDisclaimer,String,String,Yes,OBJECT
Invoice,createdAt,ISO8601DateTime!,ISO8601DateTime,No,OBJECT
Invoice,customFields,[Unknown]!,Unknown,No,OBJECT
Invoice,dateViewedInClientHub,ISO8601DateTime,ISO8601DateTime,Yes,OBJECT
Invoice,dueDate,ISO8601DateTime,ISO8601DateTime,Yes,OBJECT
Invoice,hasInvoiceNumberDuplicates,Boolean!,Boolean,No,OBJECT
Invoice,id,EncodedId!,EncodedId,No,OBJECT
Invoice,invoiceNet,Int,Int,Yes,OBJECT
Invoice,invoiceNumber,String!,String,No,OBJECT
Invoice,invoiceStatus,InvoiceStatusTypeEnum!,InvoiceStatusTypeEnum,No,OBJECT
Invoice,issuedDate,ISO8601DateTime,ISO8601DateTime,Yes,OBJECT
Invoice,jobberWebUri,String!,String,No,OBJECT
Invoice,jobs,JobConnection!,JobConnection,No,OBJECT
Invoice,lineItems,InvoiceLineItemConnection!,InvoiceLineItemConnection,No,OBJECT
Invoice,linkedCommunications,MessageInterfaceConnection!,MessageInterfaceConnection,No,OBJECT
Invoice,message,String,String,Yes,OBJECT
Invoice,nextDateToSendReviewSms,ISO8601DateTime,ISO8601DateTime,Yes,OBJECT
Invoice,noteAttachments,InvoiceNoteFileConnection!,InvoiceNoteFileConnection,No,OBJECT
Invoice,notes,InvoiceNoteUnionConnection!,InvoiceNoteUnionConnection,No,OBJECT
Invoice,paymentRecords,PaymentRecordConnection!,PaymentRecordConnection,No,OBJECT
Invoice,properties,PropertyConnection!,PropertyConnection,No,OBJECT
Invoice,receivedDate,ISO8601DateTime,ISO8601DateTime,Yes,OBJECT
Invoice,salesperson,User,User,Yes,OBJECT
Invoice,subject,String!,String,No,OBJECT
